Article_number,Topics_A,Promoting_collective_gains_A,Preventing_collective_losses_A,Notes/Uncertainty_A,Topics_B,Promoting_collective_gains_B,Preventing_collective_losses_B,Notes/Uncertainty_B,Mismatch,Topics_C,linked_progress,linked_hurt
376,Political representation,0,0,,Asian stereotype,0,0,,Mismatch,Mismatch,0,0
377,Affirmative action,1,0,"Not straight AA, but close enough to count",Employment,0,0,,Mismatch,Mismatch,1,0
378,Hate crimes,0,0,,Others,0,0,media,Mismatch,Mismatch,0,0
379,Community events,0,0,,Others,0,0,development,Mismatch,Mismatch,0,0
380,Affirmative action,1,0,,Affirmative action,0,0,,,Affirmative action,1,0
381,Affirmative action,1,0,"Not AA, bilingual programs in schools",Others,0,0,,Mismatch,Mismatch,1,0
382,Others,0,0,Com. Garden,Others,0,0,,,Others,0,0
383,Healthcare,1,0,DOmestic abuse help-- not quite healthcare though,Healthcare,0,0,,,Healthcare,1,0
384,Others,0,0,,Others,0,0,,,Others,0,0
385,Employment,0,0,Making fun of Reagan,Others,0,0,,Mismatch,Mismatch,0,0
386,The Redress Movement,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
387,Employment,0,0,Restaurant,Others,0,0,,Mismatch,Mismatch,0,0
388,Affirmative action,1,0,"Not AA, bilingual school programs",Others,0,0,school/ed,Mismatch,Mismatch,1,0
389,Affirmative action,0,0,"Not AA, bilingual school programs",Others,0,0,school/ed,Mismatch,Mismatch,0,0
390,Arts,0,0,,Arts,0,0,,,Arts,0,0
391,Community events,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
392,Arts,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
393,Community events,1,0,,Community events,0,0,,,Community events,1,0
394,Others,1,0,Food program,Others,1,0,,,Others,1,0
395,Anti-U.S. foreign policy,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
396,Community events,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
397,Others,0,0,"sports, skiing",Others,0,0,,,Others,0,0
398,Anti-U.S. foreign policy,1,0,,Anti-U.S. foreign policy,1,0,,,Anti-U.S. foreign policy,1,0
399,Employment,0,0,,Employment,0,0,,,Employment,0,0
400,Community events,0,0,,Community events,0,0,,,Community events,0,0
401,Political representation,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
402,Community events,1,0,Childrens Park Opening,Others,0,0,,Mismatch,Mismatch,1,0
403,Employment,0,0,,Employment,1,0,,,Employment,1,0
404,Arts,0,0,,Arts,0,1,,,Arts,0,1
405,Labor union,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
406,Labor union,0,0,,Labor Union,0,0,,,Labor union,0,0
407,Community events,1,0,Chinese Family Associations,Others,0,0,,Mismatch,Mismatch,1,0
408,Others,0,0,Funding cuts for asian orgs,Political representation,1,0,,Mismatch,Mismatch,1,0
409,Labor union,0,0,,Labor Union,0,0,,,Labor union,0,0
410,Community events,1,1,,Others,0,0,,Mismatch,Mismatch,1,0
411,Housing,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
412,Others,0,0,Marcos regime,Others,0,0,,,Others,0,0
413,Housing,1,0,,Housing,1,0,,,Housing,1,0
414,Employment,0,0,Firefighters,Employment,0,1,,,Employment,0,1
415,Arts,0,0,,Arts,0,1,,,Arts,0,1
416,Community events,0,0,,Community events,0,0,,,Community events,0,0
417,Arts,0,0,,Arts,0,0,,,Arts,0,0
418,Others,0,0,Post offices,Others,0,0,,,Others,0,0
419,Affirmative action,1,0,,Affirmative action,0,0,,,Affirmative action,1,0
420,Arts,0,0,Music?,Arts,0,0,,,Arts,0,0
421,Political representation,0,0,? Weird criticism of politician,Others,0,0,,Mismatch,Mismatch,0,0
422,The Redress Movement,0,1,,The Redress Movement,0,0,,,The Redress Movement,0,1
423,Housing,0,0,,Housing,0,0,,,Housing,0,0
424,Employment,1,0,,Employment,0,0,,,Employment,1,0
425,Housing,1,0,,Housing,0,0,,,Housing,1,0
426,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
427,Arts,0,0,,Arts,0,0,,,Arts,0,0
428,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
429,Arts,0,0,,Arts,0,0,,,Arts,0,0
430,Labor union,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
431,Affirmative action,0,0,,Affirmative action,0,0,,,Affirmative action,0,0
432,Arts,0,0,,Arts,0,0,,,Arts,0,0
433,Community events,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
434,Community events,0,0,,Community events,0,0,,,Community events,0,0
435,Arts,0,0,,Arts,0,0,,,Arts,0,0
436,Community events,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
437,Labor union,0,0,,Labor Union,0,0,,,Labor union,0,0
438,Community events,0,0,,Arts,0,0,,Mismatch,Mismatch,0,0
439,Others,1,0,,Others,0,0,,,Others,1,0
440,Arts,0,0,,Arts,0,0,,,Arts,0,0
441,Labor union,1,1,,Labor Union,0,1,,,Labor union,1,1
442,The Redress Movement,1,1,,The Redress Movement,0,1,,,The Redress Movement,1,1
443,Employment,0,0,,Employment,0,0,,,Employment,0,0
444,Affirmative action,0,0,,Political representation,0,0,,Mismatch,Mismatch,0,0
445,Asian stereotype,0,1,,Asian stereotype,0,0,,,Asian stereotype,0,1
446,Arts,0,0,,Arts,0,0,,,Arts,0,0
447,Affirmative action,1,0,,Affirmative action,0,0,,,Affirmative action,1,0
448,Others,1,0,Metro link,Others,0,0,,,Others,1,0
449,Others,0,0,"Discrimination, hard to sort",Others,1,1,,,Others,1,1
450,Recipes,0,0,"Talks about food, not exactly recipes tho",Others,0,0,,Mismatch,Mismatch,0,0
451,Recipes,0,0,Mochi,Recipes,0,0,,,Recipes,0,0
452,Others,0,0,Civil disobedience,Others,0,0,,,Others,0,0
453,Housing,1,0,,Housing,1,0,,,Housing,1,0
454,Employment,1,0,,Others,1,0,,Mismatch,Mismatch,1,0
455,Employment,0,0,,Employment,0,0,,,Employment,0,0
456,Political representation,1,0,,Political representation,1,0,,,Political representation,1,0
457,Community events,0,0,,Community events,0,0,,,Community events,0,0
458,Community events,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
459,Labor union,0,1,But in the Phillipines,Labor Union,0,0,,,Labor union,0,1
460,Anti-U.S. foreign policy,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
461,Political representation,1,0,,Political representation,0,0,,,Political representation,1,0
462,Arts,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
463,Community events,0,0,Street name change,Others,0,0,,Mismatch,Mismatch,0,0
464,Community events,0,0,,Community events,0,0,,,Community events,0,0
465,Community events,0,1,,Others,1,1,,Mismatch,Mismatch,1,1
466,Community events,0,0,,Community events,0,0,,,Community events,0,0
467,Employment,0,0,Personal expose,Employment,0,0,,,Employment,0,0
468,Others,0,0,Freeway development,Others,0,0,,,Others,0,0
469,Others,0,0,Local crime,Others,0,0,,,Others,0,0
470,Arts,0,0,Short story or poem,Arts,0,0,,,Arts,0,0
471,Community events,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
472,Arts,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
473,Healthcare,1,0,,Healthcare,1,0,,,Healthcare,1,0
474,Hate crimes,0,1,,Others,0,1,,Mismatch,Mismatch,0,1
475,Community events,0,0,,Community events,0,0,,,Community events,0,0
476,Arts,0,0,,Arts,0,0,,,Arts,0,0
477,Community events,0,0,,Arts,0,0,,Mismatch,Mismatch,0,0
478,Community events,0,0,,Community events,0,0,,,Community events,0,0
479,Political representation,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
480,Healthcare,1,0,,Healthcare,0,0,,,Healthcare,1,0
481,Housing,0,0,,Housing,0,0,,,Housing,0,0
482,Healthcare,0,0,,Healthcare,0,0,,,Healthcare,0,0
483,Others,0,0,Story of an old chef,Others,0,0,,,Others,0,0
484,Employment,0,0,,Employment,0,1,,,Employment,0,0
485,Employment,1,0,,Employment,0,0,,,Employment,1,0
486,Community events,1,1,,Others,0,0,,Mismatch,Mismatch,1,0
487,Arts,0,0,,Arts,0,0,,,Arts,0,0
488,Community events,0,0,,Community events,0,0,,,Community events,0,0
489,Others,0,0,Dififcult to sort cleanly,Employment,0,0,,Mismatch,Mismatch,0,0
490,Housing,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
491,Anti-U.S. foreign policy,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
492,Arts,0,0,Radio,Others,0,0,,Mismatch,Mismatch,0,0
493,Community events,0,0,,Community events,0,0,,,Community events,0,0
494,Housing,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
495,Arts,0,0,,Asian stereotype,0,1,,Mismatch,Mismatch,0,1
496,The Redress Movement,0,1,,Anti-U.S. foreign policy,0,0,,Mismatch,Mismatch,0,1
497,Arts,0,0,Poem/story,Arts,0,0,,,Arts,0,0
498,Employment,0,0,Restaurant,Others,0,0,,Mismatch,Mismatch,0,0
499,Arts,0,0,,Arts,0,0,,,Arts,0,0
500,Anti-U.S. foreign policy,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
501,Others,0,0,,Others,0,0,,,Others,0,0
502,Arts,0,0,,Arts,0,0,,,Arts,0,0
503,Arts,0,0,,Arts,0,0,,,Arts,0,0
504,Labor union,0,1,,Labor Union,0,1,,,Labor union,0,1
505,Others,0,0,,Others,0,0,,,Others,0,0
506,Arts,0,0,,Arts,0,0,,,Arts,0,0
507,International business,0,0,,International business,0,0,,,International business,0,0
508,Healthcare,0,0,,Healthcare,0,0,,,Healthcare,0,0
509,Employment,0,0,Discussion of retirement experience,Others,0,0,,Mismatch,Mismatch,0,0
510,Community events,1,0,,Housing,0,0,,Mismatch,Mismatch,1,0
511,Community events,0,0,Community development,Others,0,0,,Mismatch,Mismatch,0,0
512,Others,1,0,Scholarships,Community events,0,0,,Mismatch,Mismatch,1,0
513,Others,0,0,,Others,0,0,,,Others,0,0
514,Hate crimes,0,0,,Hate crimes,0,0,,,Hate crimes,0,0
515,International business,0,0,Home design/decoration,Arts,0,0,,Mismatch,Mismatch,0,0
516,Others,0,0,Restaurant,Others,0,0,,,Others,0,0
517,Employment,0,0,,Employment,1,0,,,Employment,1,0
518,Arts,0,0,,Arts,0,0,,,Arts,0,0
519,Others,1,0,,Employment,0,0,,Mismatch,Mismatch,1,0
520,Employment,0,1,,Employment,0,1,,,Employment,0,1
521,Asian stereotype,0,1,,Arts,0,0,,Mismatch,Mismatch,0,1
522,Community events,0,0,,Community events,0,0,,,Community events,0,0
523,Housing,0,0,"""Sunshine"" payments",Others,0,0,,Mismatch,Mismatch,0,0
524,International business,0,0,Supercomputers,International business,0,0,,,International business,0,0
525,Community events,0,0,Science competitions,Others,0,0,,Mismatch,Mismatch,0,0
526,Arts,0,0,,Arts,0,0,,,Arts,0,0
527,Others,0,0,,Others,0,0,,,Others,0,0
528,Others,0,0,Miens Immigrants,Others,0,0,,,Others,0,0
529,Healthcare,1,0,,Healthcare,1,0,,,Healthcare,1,0
530,Others,0,0,,Others,0,0,,,Others,0,0
531,Hate crimes,0,1,,Hate crimes,0,1,,,Hate crimes,0,1
532,Others,0,0,School,Others,0,0,school/ed,,Others,0,0
533,Community events,0,0,,Community events,0,0,,,Community events,0,0
534,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
535,Community events,1,0,,Arts,0,0,,Mismatch,Mismatch,1,0
536,Others,0,0,Cambodian refugees,Others,0,0,,,Others,0,0
537,Others,0,1,,Others,0,0,,,Others,0,1
538,Others,0,0,,Others,0,0,,,Others,0,0
539,Others,0,0,,Others,0,0,,,Others,0,0
540,Community events,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
541,Community events,0,0,,Community events,0,0,,,Community events,0,0
542,Community events,0,0,,Anti-U.S. foreign policy,0,0,,Mismatch,Mismatch,0,0
543,Anti-U.S. foreign policy,0,0,,Anti-U.S. foreign policy,0,0,,,Anti-U.S. foreign policy,0,0
544,Arts,0,0,,Arts,0,0,,,Arts,0,0
545,The Redress Movement,0,1,,The Redress Movement,0,1,,,The Redress Movement,0,1
546,Others,0,0,,Asian stereotype,0,0,,Mismatch,Mismatch,0,0
547,Arts,0,0,,Arts,0,0,,,Arts,0,0
548,Others,0,0,,Others,0,0,,,Others,0,0
549,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
550,Community events,1,0,,Community events,0,0,,,Community events,1,0
551,Employment,0,0,,Employment,1,0,,,Employment,1,0
552,Arts,0,0,,Arts,0,0,,,Arts,0,0
553,Others,0,0,,Others,0,0,,,Others,0,0
554,Others,0,0,,Others,0,0,,,Others,0,0
555,Anti-U.S. foreign policy,0,1,,Anti-U.S. foreign policy,0,0,,,Anti-U.S. foreign policy,0,1
556,Others,1,0,Scholarships,Others,0,0,,,Others,1,0
557,Others,1,0,Bilingual coordinator,Others,0,0,,,Others,1,0
558,Healthcare,0,0,,Healthcare,0,0,,,Healthcare,0,0
559,Healthcare,0,0,,Healthcare,0,0,,,Healthcare,0,0
560,Community events,0,0,,Political representation,0,0,,Mismatch,Mismatch,0,0
561,Others,0,0,School demographics,Others,0,0,school/ed,,Others,0,0
562,Political representation,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
563,Community events,0,0,,Community events,0,0,,,Community events,0,0
564,Others,0,0,,Affirmative action,0,0,,Mismatch,Mismatch,0,0
565,Housing,0,0,,Housing,0,0,,,Housing,0,0
566,Housing,0,0,Gentrification,Others,0,0,,Mismatch,Mismatch,0,0
567,Anti-U.S. foreign policy,0,0,Anti-Marcos protestors,Anti-U.S. foreign policy,0,0,,,Anti-U.S. foreign policy,0,0
568,Others,0,0,,Others,0,0,,,Others,0,0
569,Others,0,0,,Healthcare,0,0,,Mismatch,Mismatch,0,0
570,Hate crimes,0,1,,Hate crimes,0,0,,,Hate crimes,0,1
571,Community events,0,0,,Community events,0,0,,,Community events,0,0
572,Community events,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
573,International business,0,0,,International business,0,0,,,International business,0,0
574,Others,0,0,Refugees,Others,0,0,,,Others,0,0
575,Anti-U.S. foreign policy,0,0,,Anti-U.S. foreign policy,0,0,,,Anti-U.S. foreign policy,0,0
576,Community events,0,0,,Arts,0,0,,Mismatch,Mismatch,0,0
577,Community events,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
578,Political representation,1,0,,Political representation,1,0,,,Political representation,1,0
579,Arts,0,0,Netsuke,Arts,0,0,,,Arts,0,0
580,Healthcare,0,0,,Healthcare,0,0,,,Healthcare,0,0
581,Arts,0,0,,Arts,0,0,,,Arts,0,0
582,International business,0,0,,International business,0,0,,,International business,0,0
583,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
584,Political representation,1,0,,Political representation,1,0,,,Political representation,1,0
585,Arts,0,0,,Arts,0,0,,,Arts,0,0
586,Asian stereotype,0,0,,Asian stereotype,0,1,,,Asian stereotype,0,1
587,Others,0,0,,Others,0,0,,,Others,0,0
588,Others,0,0,,Others,0,0,,,Others,0,0
589,Asian stereotype,0,0,,Asian stereotype,0,1,,,Asian stereotype,0,1
590,Others,0,0,refugees,Others,0,0,,,Others,0,0
591,Others,0,0,International students,Others,0,0,,,Others,0,0
592,Others,0,0,,Arts,0,0,,Mismatch,Mismatch,0,0
593,Others,0,0,,Others,0,0,,,Others,0,0
594,Asian stereotype,0,1,,Asian stereotype,0,1,,,Asian stereotype,0,1
595,Others,1,0,,Others,0,0,,,Others,0,0
596,Housing,1,0,,Housing,1,0,,,Housing,1,0
597,International business,0,0,,International business,0,0,,,International business,0,0
598,Arts,1,0,,Arts,0,0,,,Arts,1,0
599,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
600,Housing,0,0,,Housing,0,0,,,Housing,0,0
601,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
602,Arts,0,0,,Housing,0,0,,Mismatch,Mismatch,0,0
603,Arts,0,0,,Arts,0,0,,,Arts,0,0
604,International business,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
605,Hate crimes,0,1,,Hate crimes,0,1,,,Hate crimes,0,1
606,Employment,0,0,,Labor union,0,0,,Mismatch,Mismatch,0,0
607,Others,0,0,,Community events,0,0,,Mismatch,Mismatch,0,0
608,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
609,Others,1,0,,Others,1,0,,,Others,1,0
610,Arts,0,0,,Arts,0,0,,,Arts,0,0
611,Hate crimes,0,0,,Hate crimes,0,0,,,Hate crimes,0,0
612,Political representation,0,0,,Political representation,1,1,,,Political representation,1,1
613,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
614,Others,0,0,,Others,0,0,,,Others,0,0
615,Others,0,0,,Political representation,0,0,,Mismatch,Mismatch,0,0
616,Employment,1,0,,Others,1,0,,Mismatch,Mismatch,1,0
617,Others,0,0,,Others,0,0,,,Others,0,0
618,Others,0,0,,Political representation,0,0,,Mismatch,Mismatch,0,0
619,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
620,Affirmative action,0,1,,Asian stereotype,0,1,,Mismatch,Mismatch,0,1
621,Arts,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
622,Others,0,0,,Others,0,0,,,Others,0,0
623,Arts,0,0,,Arts,0,0,,,Arts,0,0
624,Political representation,0,0,,Political representation,1,0,,,Political representation,1,0
625,Community events,0,0,,Community events,0,0,,,Community events,0,0
626,Others,0,0,,Others,0,0,,,Others,0,0
627,Others,0,0,Cambodian days of hate,Others,0,0,,,Others,0,0
628,Others,1,0,,Arts,0,0,,Mismatch,Mismatch,0,0
629,Others,0,0,,Others,0,0,,,Others,0,0
630,Others,0,0,,Employment,0,0,,Mismatch,Mismatch,0,0
631,Others,0,0,Immigration,Others,0,0,,,Others,0,0
632,Political representation,1,0,,Political representation,1,0,,,Political representation,1,0
633,Others,1,0,American Chinese funding schools in Toisan,Others,0,0,,,Others,0,0
634,Others,0,0,,Others,0,0,,,Others,0,0
635,The Redress Movement,0,0,,The Redress Movement,1,0,,,The Redress Movement,1,0
636,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
637,Hate crimes,0,0,,Others,0,1,,Mismatch,Mismatch,0,1
638,Others,0,0,,Others,0,0,,,Others,0,0
639,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
640,Hate crimes,0,1,,Hate crimes,0,1,,,Hate crimes,0,1
641,Others,0,0,,Others,0,0,,,Others,0,0
642,Others,0,0,Vietnamese crime,Others,0,0,,,Others,0,0
643,Community events,0,0,,Community events,0,0,,,Community events,0,0
644,Others,0,0,Skating,Others,0,0,,,Others,0,0
645,Employment,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
646,Political representation,0,0,,Political representation,1,0,,,Political representation,1,0
647,Others,0,0,local tragedy,Others,0,0,,,Others,0,0
648,Political representation,0,1,,Asian stereotype,0,1,,Mismatch,Mismatch,0,1
649,Community events,0,0,,Community events,0,0,,,Community events,0,0
650,Others,0,1,,Employment,0,0,,Mismatch,Mismatch,0,1
651,Community events,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
652,Others,0,0,,Others,0,0,,,Others,0,0
653,Community events,0,0,,Community events,0,0,,,Community events,0,0
654,Asian stereotype,0,1,,Arts,0,0,,Mismatch,Mismatch,0,1
655,International business,0,0,,International business,0,0,,,International business,0,0
656,Community events,0,0,,Community events,0,0,,,Community events,0,0
657,Anti-U.S. foreign policy,0,0,Not sure how to sort exactly,Others,0,0,,Mismatch,Mismatch,0,0
658,Community events,1,0,,Others,1,0,,Mismatch,Mismatch,1,0
659,Others,0,0,,Others,0,0,,,Others,0,0
660,Community events,0,0,,Community events,0,0,,,Community events,0,0
661,Community events,0,0,,Employment,0,0,,Mismatch,Mismatch,0,0
662,Others,1,0,,Others,0,0,,,Others,0,0
663,Others,0,0,Immigration,Others,0,0,,,Others,0,0
664,Others,0,0,,Others,0,0,,,Others,0,0
665,Housing,0,0,,Housing,0,0,,,Housing,0,0
666,Others,0,0,,Others,0,0,,,Others,0,0
667,International business,0,0,Hard to classify,Others,0,0,,Mismatch,Mismatch,0,0
668,Arts,0,0,,Community events,0,0,,Mismatch,Mismatch,0,0
669,Housing,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
670,Employment,1,0,,Arts,0,0,,Mismatch,Mismatch,1,0
671,Others,0,0,Hard to sort,International business,0,1,,Mismatch,Mismatch,0,1
672,Arts,0,0,,Arts,0,0,,,Arts,0,0
673,Others,0,0,ASian yellow pages,Others,0,0,,,Others,0,0
674,Others,0,0,,Others,0,0,,,Others,0,0
675,Housing,0,0,,Housing,0,0,,,Housing,0,0
676,Arts,0,0,,Arts,0,0,,,Arts,0,0
677,Others,0,0,,Others,0,0,,,Others,0,0
678,Others,0,0,,Others,0,0,,,Others,0,0
679,Others,0,0,Obituary,Others,0,0,,,Others,0,0
680,Others,0,0,,Healthcare,1,0,,Mismatch,Mismatch,1,0
681,Arts,0,0,Karate Kid 2,Arts,0,0,,,Arts,0,0
682,Asian stereotype,0,0,,Asian stereotype,0,1,,,Asian stereotype,0,1
683,Others,0,0,,Others,0,0,,,Others,0,0
684,Employment,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
685,Others,0,0,Vietnamese ref. reunion,Others,0,0,,,Others,0,0
686,Others,1,0,Essay contest,Community events,0,0,,Mismatch,Mismatch,1,0
687,Community events,0,0,All you can eat ,Community events,0,0,,,Community events,0,0
688,Others,0,0,Worlds oldest man,Others,0,0,,,Others,0,0
689,Employment,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
690,Community events,0,0,,Political representation,0,0,,Mismatch,Mismatch,0,0
691,Employment,0,0,,Others,1,0,,Mismatch,Mismatch,1,0
692,Others,1,0,Scholarship,Others,0,0,,,Others,1,0
693,Community events,0,0,,Community events,0,0,,,Community events,0,0
694,Others,0,0,,Others,0,0,,,Others,0,0
695,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
696,Healthcare,0,0,,Healthcare,0,0,,,Healthcare,0,0
697,Community events,0,0,,Community events,0,0,,,Community events,0,0
698,Labor union,1,0,,Labor union,1,0,,,Labor union,1,0
699,Others,0,0,,Others,0,0,,,Others,0,0
700,Arts,0,0,,Arts,0,0,,,Arts,0,0
701,Employment,0,0,,Employment,0,0,,,Employment,0,0
702,Others,1,0,,Others,1,0,,,Others,1,0
703,Asian stereotype,0,1,,Arts,0,1,,Mismatch,Mismatch,0,1
704,Healthcare,0,0,,Healthcare,0,0,,,Healthcare,0,0
705,Hate crimes,0,0,,Hate crimes,0,0,,,Hate crimes,0,0
706,Arts,0,0,,Arts,0,0,,,Arts,0,0
707,Arts,0,0,,Arts,0,0,,,Arts,0,0
708,Others,1,0,,Others,1,0,,,Others,1,0
709,Housing,0,0,,Housing,1,0,,,Housing,1,0
710,Arts,0,0,,Arts,0,1,,,Arts,0,1
711,Arts,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
712,Affirmative action,1,0,AA in business,Others,1,0,,Mismatch,Mismatch,1,0
713,Community events,1,0,,Community events,0,0,,,Community events,0,0
714,Housing,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
715,Arts,0,0,,Arts,0,0,,,Arts,0,0
716,Asian stereotype,0,1,,Arts,0,1,,Mismatch,Mismatch,0,1
717,Community events,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
718,Arts,0,0,,Arts,0,0,,,Arts,0,0
719,Others,0,0,,Healthcare,0,0,,Mismatch,Mismatch,0,0
720,OTHERS,0,0,,Others,0,0,,,OTHERS,0,0
721,Others,0,0,Lotto tickets,Others,0,0,,,Others,0,0
722,Arts,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
723,Others,0,0,,International business,0,0,,Mismatch,Mismatch,0,0
724,Arts,0,0,,Arts,0,0,,,Arts,0,0
725,Others,1,0,,Arts,0,0,,Mismatch,Mismatch,1,0
726,Others,1,0,,Others,0,0,,,Others,0,0
727,Housing,1,0,,Housing,0,0,,,Housing,1,0
728,Others,0,0,,Healthcare,0,0,,Mismatch,Mismatch,0,0
729,Employment,0,0,Wine sales,Others,0,0,,Mismatch,Mismatch,0,0
730,International business,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
731,Asian stereotype,0,0,,Arts,0,1,,Mismatch,Mismatch,0,1
732,Asian stereotype,0,0,,Political representation,1,1,,Mismatch,Mismatch,1,1
733,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
734,Others,0,0,,Others,0,0,,,Others,0,0
735,Employment,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
736,Others,0,0,,Others,0,0,,,Others,0,0
737,Others,1,0,,Political representation,1,0,,Mismatch,Mismatch,1,0
738,Healthcare,1,0,,Healthcare,0,0,,,Healthcare,0,0
739,Housing,0,0,,Housing,0,0,,,Housing,0,0
740,Healthcare,1,0,,Healthcare,0,0,,,Healthcare,0,0
741,The Redress Movement,0,1,,Asian stereotype,0,1,,Mismatch,Mismatch,0,1
742,Employment,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
743,International business,0,0,,International business,0,0,,,International business,0,0
744,Others,1,0,,Others,0,0,,,Others,1,0
745,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
746,Community events,1,0,,Community events,1,1,,,Community events,1,1
747,Others,1,0,,Others,0,0,,,Others,0,0
748,International business,0,0,,International business,0,0,,,International business,0,0
749,Asian stereotype,0,1,,Arts,0,0,,Mismatch,Mismatch,0,1
750,Labor union,1,0,,Labor union,0,0,,,Labor union,1,0
751,Healthcare,1,0,,Healthcare,1,0,,,Healthcare,1,0
752,Others,0,0,,Others,0,0,,,Others,0,0
753,Arts,0,0,,Arts,0,0,,,Arts,0,0
754,Arts,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
755,Arts,0,0,,Arts,0,0,,,Arts,0,0
756,Community events,0,0,,Community events,0,0,,,Community events,0,0
757,Community events,1,0,,Community events,0,0,,,Community events,1,0
758,Others,0,0,Japanese demographics,Others,0,0,,,Others,0,0
759,Others,0,0,,Others,0,0,,,Others,0,0
760,Housing,0,0,,Housing,1,1,,,Housing,1,1
761,Housing,0,0,,Housing,0,0,,,Housing,0,0
762,Others,0,0,Gangs,Others,0,0,,,Others,0,0
763,Arts,0,0,,Arts,0,0,,,Arts,0,0
764,Others,0,0,Dog meat,Others,0,0,,,Others,0,0
765,Arts,0,0,Pop concert,Arts,0,0,,,Arts,0,0
766,Community events,0,0,,Political representation,0,0,,Mismatch,Mismatch,0,0
767,Others,0,0,local crime,Others,0,0,,,Others,0,0
768,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
769,Community events,1,0,,Community events,1,0,,,Community events,1,0
770,The Redress Movement,0,1,,Asian stereotype,0,1,,Mismatch,Mismatch,0,1
771,Community events,0,0,Hard to sort,Community events,0,0,,,Community events,0,0
772,Others,0,0,,Others,0,0,,,Others,0,0
773,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
774,Healthcare,0,0,,Healthcare,0,0,,,Healthcare,0,0
775,Hate crimes,0,1,Violence mentioned,Asian stereotype,0,1,,Mismatch,Mismatch,0,1
776,The Redress Movement,0,1,,Hate crimes,0,1,,Mismatch,Mismatch,0,1
777,Others,0,0,,Others,0,0,,,Others,0,0
778,Political representation,0,0,,Political representation,1,0,,,Political representation,1,0
779,Employment,0,0,,Employment,0,0,,,Employment,0,0
780,Others,0,0,,Community events,0,0,,Mismatch,Mismatch,0,0
781,Community events,0,0,,Community events,0,0,,,Community events,0,0
782,Community events,0,0,,Community events,0,0,,,Community events,0,0
783,Political representation,0,0,,Political representation,1,0,,,Political representation,1,0
784,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
785,Arts,0,0,,Community events,0,0,,Mismatch,Mismatch,0,0
786,Others,0,0,,Others,0,0,,,Others,0,0
787,Others,0,0,,Others,0,0,,,Others,0,0
788,Others,0,0,,Community events,0,0,,Mismatch,Mismatch,0,0
